2025-08-16T15:50:16.417909,hi do you have fever,"No, I haven't experienced that.",
2025-08-16T16:08:19.378573,what else is you problem,my grandfather had appendicitis years ago but they,
2025-08-16T16:08:33.941624,do you have any stock pain,"No, only antibiotics for",
2025-08-16T16:08:54.114257,no I mena stomach pain,"sorry about that, it was my appendix thats hurting and making me feel bad today.",
2025-08-16T16:09:07.157974,what about headaches,"No, I haven't experienced that.",
2025-08-16T16:09:30.027931,did you travel to china or eat Chinese food recently,No I haven't traveled to China and have never eaten any kind of Chinese food before this time. Can you suggest what could be causing my symptoms?,
2025-08-16T16:09:43.160528,headaches,"No, I haven't experienced that.",
2025-08-16T16:09:54.560622,headaches,"No, I haven't experienced that.",
2025-08-16T16:09:56.231287,headaches,"No, I haven't experienced that.",
2025-08-16T16:09:58.127135,headaches,"No, I haven't experienced that.",
2025-08-16T16:10:10.106698,,,Appendicitis.
2025-08-18T13:57:28.387441,thyrt,I don’t have cancer,
2025-08-18T13:57:28.393530,thyrt,What should I do if my child wakes up in the night with cold sweats and chills?,
2025-08-18T13:57:28.395055,thyrt,"So, is there anything I can do to help you feel better?",
2025-08-18T14:25:52.160323,d,Sure. What was your last test result?,
2025-08-18T14:25:56.344227,d,I was wondering if perhaps you could explain more about how lymphomas develop and spread?,
2025-08-18T14:25:58.239283,d,I have been experiencing a few physical changes in my body lately and decided to see you today for further examination. My blood tests were fine earlier but now they show signs of anemia as well. What could be causing this?,
2025-08-18T14:25:58.438492,d,"Yes, I would love to know more about that. Doctor: Our team at",
2025-08-18T14:25:59.843886,d,I'll do my best to stay on top of everything you need to know about my condition. Do you have any questions for me?,
2025-08-18T14:26:35.125597,quit,I don't know how to respond. What should I do?,
2025-08-18T14:26:37.760547,quit,"(exhales) Alright Doctor, I'll be on my way.",
2025-08-18T14:26:38.730377,quit,sorry?,
2025-08-18T14:27:17.240249,fever,Noticed fever especially in the mornings.,
2025-08-18T14:27:23.040891,fever,Noticed fever especially in the mornings.,
2025-08-18T14:27:26.033116,fever,Noticed fever especially in the mornings.,
2025-08-18T14:27:28.542911,fever,Noticed fever especially in the mornings.,
2025-08-18T14:27:31.665258,fever,Noticed fever especially in the mornings.,
2025-08-18T14:27:34.473978,fever,Noticed fever especially in the mornings.,
2025-08-18T14:27:37.152418,fever,Noticed fever especially in the mornings.,
2025-08-18T14:27:45.409846,,,lymphoma
2025-08-18T14:28:26.077142,hi how are you doing,"I've been having some trouble sleeping lately, but it seems to get better after I exercise in the morning. Is there anything else we could talk about?",
2025-08-18T14:28:27.525742,hi how are you doing,"good, thanks for asking. I have been feeling a bit under the weather recently. The first sign was some fatigue and headaches but then it progressed to this. Is there anything we can do?",
2025-08-18T14:28:27.558483,hi how are you doing,good how about you?,
2025-08-18T14:28:36.315956,"good, do you have fever","No, I haven't experienced that.",
2025-08-18T14:28:53.923087,any allergies or medication,I have been taking Metoprolol for my hypertension and also take Propranolol to control my anxiety. Is there anything else you would recommend?  ,
2025-08-18T14:29:18.170209,"no, have you been traveling a lot recently","Well, my husband and I spent three weeks in Italy this summer. We went to several different cities, but most places were so crowded! It was hard to find parking and it was very expensive.",
2025-08-18T14:30:27.954212,"do you eat a lot, I mean are you fat","Yes, but it doesn’t affect my blood pressure. Or maybe you don’t know what hypertension is?",
2025-08-18T14:30:51.020971,okay calm down,(whispering to themselves) I am so scared. Why did they say that? Is it from me being overweight and lazy?,
2025-08-18T14:31:15.351906,"no, that's not what I meant","ah, okay",
2025-08-18T14:32:37.222595,do you feel bloated or any gastral troubles,I have been feeling bloating lately and some acidity in my stomach when eating spicy food. But it hasn't affected me too much since last month when I was on medications for hypertension.,
2025-08-18T14:33:05.728373,do you use any illegal drugs,"No, I don't think so.",
2025-08-18T14:33:30.100881,do you feel stressed often,"Yes, I sometimes get overwhelmed by work and don’t have time to relax. How can I let go of this stress?",
2025-08-18T14:33:40.666544,,,hypertension
